name1,name2,dxy
Kuna,Wright,0.003497897
Lamarck,Lamarck,0.001395969
Lamarck,Lyell,0.002301488
Lamarck,Millys,0.002605527
Lamarck,Monarch,0.002964336
Lamarck,NForester,0.002747482
Lamarck,Ottoway,0.002503134
Lamarck,Pear,0.002885807
Lamarck,Piute,0.001469669
Lamarck,Ritter,0.001975408
Lamarck,Ruby,0.001523339
Lamarck,SamMack,0.001812732
Lamarck,Selden,0.001577867
Lamarck,SForester,0.002863259
Lamarck,Sixty,0.002167066
Lamarck,Sphinx,0.002639749
Lamarck,Taboose,0.002055059
Lamarck,Treasure,0.001545821
Lamarck,Wright,0.003007559
Lyell,Lyell,0.001793819
Lyell,Millys,0.003010236
Lyell,Monarch,0.003325238
Lyell,NForester,0.003137122
Lyell,Ottoway,0.001813295
Lyell,Pear,0.003250378
Lyell,Piute,0.002305513
Lyell,Ritter,0.001955137
Lyell,Ruby,0.00224513
Lyell,SamMack,0.00245723
Lyell,Selden,0.002339631
Lyell,SForester,0.003244778
Lyell,Sixty,0.002664848
Lyell,Sphinx,0.003051417
Lyell,Taboose,0.002595066
Lyell,Treasure,0.002304949
Lyell,Wright,0.003372456
Millys,Millys,0.001685843
Millys,Monarch,0.001721733
Millys,NForester,0.00170806
Millys,Ottoway,0.003105599
Millys,Pear,0.001729039
Millys,Piute,0.002622893
Millys,Ritter,0.002846872
Millys,Ruby,0.002676372
Millys,SamMack,0.002324925
Millys,Selden,0.002732056
Millys,SForester,0.001727084
Millys,Sixty,0.002010963
Millys,Sphinx,0.001769187
Millys,Taboose,0.002136878
Millys,Treasure,0.002485176
Millys,Wright,0.001735814
Monarch,Monarch,0.001404198
Monarch,NForester,0.001623957
Monarch,Ottoway,0.003404596
Monarch,Pear,0.001583768
Monarch,Piute,0.002979993
Monarch,Ritter,0.003179743
Monarch,Ruby,0.003039623
Monarch,SamMack,0.002637885
Monarch,Selden,0.00308517
Monarch,SForester,0.001584434
Monarch,Sixty,0.002224669
Monarch,Sphinx,0.001804198
Monarch,Taboose,0.002407669
Monarch,Treasure,0.002840734
Monarch,Wright,0.001505057
NForester,NForester,0.001568598
NForester,Ottoway,0.003226416
NForester,Pear,0.001694736
NForester,Piute,0.00276306
NForester,Ritter,0.002982769
NForester,Ruby,0.002818365
NForester,SamMack,0.002448173
NForester,Selden,0.002871478
NForester,SForester,0.001607716
NForester,Sixty,0.002091938
NForester,Sphinx,0.001787545
NForester,Taboose,0.002241369
NForester,Treasure,0.002627419
NForester,Wright,0.001598112
Ottoway,Ottoway,0.000868609
Ottoway,Pear,0.003331983
Ottoway,Piute,0.002510615
Ottoway,Ritter,0.002047607
Ottoway,Ruby,0.002468749
Ottoway,SamMack,0.002611978
Ottoway,Selden,0.002563495
Ottoway,SForester,0.003330657
Ottoway,Sixty,0.002787972
Ottoway,Sphinx,0.003146926
Ottoway,Taboose,0.002731618
Ottoway,Treasure,0.002486578
Ottoway,Wright,0.00345192
Pear,Pear,0.001279003
Pear,Piute,0.002902527
Pear,Ritter,0.003084367
Pear,Ruby,0.002961168
Pear,SamMack,0.002569059
Pear,Selden,0.003008206
Pear,SForester,0.001685902
Pear,Sixty,0.002167173
Pear,Sphinx,0.001788989
Pear,Taboose,0.0023507
Pear,Treasure,0.002749729
Pear,Wright,0.001648106
Piute,Piute,0.001461256
Piute,Ritter,0.001980766
Piute,Ruby,0.001516343
Piute,SamMack,0.001840738
Piute,Selden,0.001564252
Piute,SForester,0.002878557
Piute,Sixty,0.002186143
Piute,Sphinx,0.002654631
Piute,Taboose,0.002074809
Piute,Treasure,0.001578436
Piute,Wright,0.003022287
Ritter,Ritter,0.001720076
Ritter,Ruby,0.001891416
Ritter,SamMack,0.002202149
Ritter,Selden,0.001987457
Ritter,SForester,0.003095372
Ritter,Sixty,0.002450862
Ritter,Sphinx,0.002887141
Ritter,Taboose,0.002371194
Ritter,Treasure,0.001988293
Ritter,Wright,0.003228544
Ruby,Ruby,0.001244319
Ruby,SamMack,0.001903401
Ruby,Selden,0.001433158
Ruby,SForester,0.00293672
Ruby,Sixty,0.00223456
Ruby,Sphinx,0.002710219
Ruby,Taboose,0.002117927
Ruby,Treasure,0.001644738
Ruby,Wright,0.003083056
SamMack,SamMack,0.001653567
SamMack,Selden,0.001968489
SamMack,SForester,0.002550646
SamMack,Sixty,0.001952407
SamMack,Sphinx,0.002355693
SamMack,Taboose,0.001855381
SamMack,Treasure,0.001693792
SamMack,Wright,0.002677046
Selden,Selden,0.001378445
Selden,SForester,0.002984873
Selden,Sixty,0.002295833
Selden,Sphinx,0.002759184
Selden,Taboose,0.002186298
Selden,Treasure,0.001718206
Selden,Wright,0.003127759
SForester,SForester,0.001537676
SForester,Sixty,0.002170598
SForester,Sphinx,0.001813662
SForester,Taboose,0.002334614
SForester,Treasure,0.002742838
SForester,Wright,0.001542649
Sixty,Sixty,0.001699564
Sixty,Sphinx,0.002049395
Sixty,Taboose,0.001817665
Sixty,Treasure,0.002053413
Sixty,Wright,0.002260237
Sphinx,Sphinx,0.001687074
Sphinx,Taboose,0.002175196
Sphinx,Treasure,0.002523338
Sphinx,Wright,0.00183559
Taboose,Taboose,0.001261327
Taboose,Treasure,0.001944541
Taboose,Wright,0.002443176
Treasure,Treasure,0.001424086
Treasure,Wright,0.002884332
Wright,Wright,0.001373752
